end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,624007.094043,,,198.0,,,,624006.9565995,
,,,,blink,,,624007.464272,,,199.0,,,,624007.2583039999,
,,,,blink,,,624007.756827,,,200.0,,,,624007.738368,
,,,,blink,,,624008.0790629999,,,201.0,,,,624007.949067,
,,,,blink,,,624008.231808,,,202.0,,,,624008.14643,
,,,,blink,,,624008.513132,,,203.0,,,,624008.3852595,
,,,,blink,,,624009.0272355,,,204.0,,,,624008.8932155,
,,,,blink,,,624012.834908,,,205.0,,,,624012.6850739999,
,,,,blink,,,624013.813423,,,206.0,,,,624013.6710375,
,,,,blink,,,624019.2722059999,,,207.0,,,,624019.132129,
,,,,blink,,,624021.0823214999,,,208.0,,,,624020.916792,
,,,,blink,,,624023.0351410001,,,209.0,,,,624022.8886975,
,,,,blink,,,624026.4113795001,,,210.0,,,,624026.2492175,
,,,,blink,,,624030.5168600001,,,211.0,,,,624030.38599,
,,,,blink,,,624030.8486009999,,,212.0,,,,624030.7096909999,
,,,,blink,,,624031.2649225,,,213.0,,,,624031.0984354999,
,,,,blink,,,624031.6679529999,,,214.0,,,,624031.523795,
,,,,blink,,,624032.135747,,,215.0,,,,624031.9932265,
,,,,blink,,,624032.769827,,,216.0,,,,624032.729135,
,,,,blink,,,624033.148666,,,217.0,,,,624032.9639925,
,,,,blink,,,624033.48312,,,218.0,,,,624033.3498879999,
,,,,blink,,,624034.0168365,,,219.0,,,,624033.8799854999,
,,,,blink,,,624036.428771,,,220.0,,,,624036.266334,
,,,,blink,,,624037.47505,,,221.0,,,,624037.3224589999,
,,,,blink,,,624038.005261,,,222.0,,,,624037.8519455,
,,,,blink,,,624038.8244169999,,,223.0,,,,624038.686973,
,,,,blink,,,624039.836513,,,224.0,,,,624039.7000155,
,,,,blink,,,624040.144236,,,225.0,,,,624039.9870674999,
,,,,blink,,,624040.909558,,,226.0,,,,624040.7442719999,
,,,,blink,,,624041.212423,,,227.0,,,,624041.0733805,
,,,,blink,,,624042.5115315,,,228.0,,,,624042.375612,
,,,,blink,,,624042.8739495,,,229.0,,,,624042.826547,
,,,,blink,,,624043.414218,,,230.0,,,,624043.256334,
,,,,blink,,,624045.018745,,,231.0,,,,624044.868808,
,,,,blink,,,624046.684232,,,232.0,,,,624046.522458,
,,,,blink,,,624047.8090540001,,,233.0,,,,624047.6653064999,
,,,,blink,,,624048.6573835,,,234.0,,,,624048.4947939999,
,,,,blink,,,624049.7797095,,,235.0,,,,624049.6501785,
,,,,blink,,,624051.0993969999,,,236.0,,,,624050.9569890001,
,,,,blink,,,624051.9434074999,,,237.0,,,,624051.7823645,
,,,,blink,,,624053.111295,,,238.0,,,,624052.8293029999,
