start_gx,end_gx,blink_id,end_time,end_gy,mean_gx,mean_gy,sd,duration,rms,start_time,type,start_gy,amplitude,peak_velocity,end_point
,,192.0,623999.95853,,,,,,,623999.834806,blink,,,,
,,193.0,624002.1312465,,,,,,,624002.0379775,blink,,,,
,,194.0,624002.3262199999,,,,,,,624002.1895105,blink,,,,
,,195.0,624003.252905,,,,,,,624003.111359,blink,,,,
,,196.0,624004.762518,,,,,,,624004.624224,blink,,,,
,,197.0,624006.233316,,,,,,,624006.0569835,blink,,,,
,,198.0,624007.094043,,,,,,,624006.9565995,blink,,,,
,,199.0,624007.464272,,,,,,,624007.2583039999,blink,,,,
,,200.0,624007.756827,,,,,,,624007.738368,blink,,,,
,,201.0,624008.0790629999,,,,,,,624007.949067,blink,,,,
,,202.0,624008.231808,,,,,,,624008.14643,blink,,,,
,,203.0,624008.513132,,,,,,,624008.3852595,blink,,,,
,,204.0,624009.0272355,,,,,,,624008.8932155,blink,,,,
,,205.0,624012.834908,,,,,,,624012.6850739999,blink,,,,
,,206.0,624013.813423,,,,,,,624013.6710375,blink,,,,
,,207.0,624019.2722059999,,,,,,,624019.132129,blink,,,,
,,208.0,624021.0823214999,,,,,,,624020.916792,blink,,,,
,,209.0,624023.0351410001,,,,,,,624022.8886975,blink,,,,
,,210.0,624026.4113795001,,,,,,,624026.2492175,blink,,,,
,,211.0,624030.5168600001,,,,,,,624030.38599,blink,,,,
,,212.0,624030.8486009999,,,,,,,624030.7096909999,blink,,,,
,,213.0,624031.2649225,,,,,,,624031.0984354999,blink,,,,
,,214.0,624031.6679529999,,,,,,,624031.523795,blink,,,,
,,215.0,624032.135747,,,,,,,624031.9932265,blink,,,,
,,216.0,624032.769827,,,,,,,624032.729135,blink,,,,
,,217.0,624033.148666,,,,,,,624032.9639925,blink,,,,
,,218.0,624033.48312,,,,,,,624033.3498879999,blink,,,,
,,219.0,624034.0168365,,,,,,,624033.8799854999,blink,,,,
,,220.0,624036.428771,,,,,,,624036.266334,blink,,,,
,,221.0,624037.47505,,,,,,,624037.3224589999,blink,,,,
,,222.0,624038.005261,,,,,,,624037.8519455,blink,,,,
,,223.0,624038.8244169999,,,,,,,624038.686973,blink,,,,
,,224.0,624039.836513,,,,,,,624039.7000155,blink,,,,
,,225.0,624040.144236,,,,,,,624039.9870674999,blink,,,,
,,226.0,624040.909558,,,,,,,624040.7442719999,blink,,,,
,,227.0,624041.212423,,,,,,,624041.0733805,blink,,,,
,,228.0,624042.5115315,,,,,,,624042.375612,blink,,,,
,,229.0,624042.8739495,,,,,,,624042.826547,blink,,,,
,,230.0,624043.414218,,,,,,,624043.256334,blink,,,,
,,231.0,624045.018745,,,,,,,624044.868808,blink,,,,
,,232.0,624046.684232,,,,,,,624046.522458,blink,,,,
,,233.0,624047.8090540001,,,,,,,624047.6653064999,blink,,,,
,,234.0,624048.6573835,,,,,,,624048.4947939999,blink,,,,
,,235.0,624049.7797095,,,,,,,624049.6501785,blink,,,,
,,236.0,624051.0993969999,,,,,,,624050.9569890001,blink,,,,
,,237.0,624051.9434074999,,,,,,,624051.7823645,blink,,,,
,,238.0,624053.111295,,,,,,,624052.8293029999,blink,,,,
,,239.0,624055.1434759999,,,,,,,624054.9975445,blink,,,,
,,240.0,624055.4890920001,,,,,,,624055.3403975,blink,,,,
,,241.0,624057.151827,,,,,,,624057.0126359999,blink,,,,
,,242.0,624058.94208,,,,,,,624058.7819125,blink,,,,
,,243.0,624059.416044,,,,,,,624059.274343,blink,,,,
,,244.0,624060.396751,,,,,,,624060.2507895001,blink,,,,
,,245.0,624061.0066035,,,,,,,624060.8995165,blink,,,,
,,246.0,624062.034944,,,,,,,624061.882794,blink,,,,
,,247.0,624062.4944275001,,,,,,,624062.3617085,blink,,,,
,,248.0,624063.7081195,,,,,,,624063.57031,blink,,,,
,,249.0,624064.772886,,,,,,,624064.634705,blink,,,,
,,250.0,624065.20699,,,,,,,624065.0460049999,blink,,,,
,,251.0,624065.806094,,,,,,,624065.6469035,blink,,,,
,,252.0,624067.8407945,,,,,,,624067.7017359999,blink,,,,
,,253.0,624069.1342714999,,,,,,,624068.9870354999,blink,,,,
