end_gx,type,sd,start_gx,mean_gx,rms,amplitude,mean_gy,end_time,blink_id,duration,start_time,end_gy,start_gy,peak_velocity,end_point
,blink,,,,,,,843112.3011,227.0,,843111.224947,,,,
,blink,,,,,,,843113.58563,228.0,,843113.4619730001,,,,
,blink,,,,,,,843115.1532449999,229.0,,843115.040514,,,,
,blink,,,,,,,843116.1949964999,230.0,,843116.127031,,,,
,blink,,,,,,,843116.79517,231.0,,843116.6659245,,,,
,blink,,,,,,,843117.2876535,232.0,,843117.140262,,,,
,blink,,,,,,,843117.574485,233.0,,843117.4821044999,,,,
,blink,,,,,,,843117.7146785,234.0,,843117.674346,,,,
,blink,,,,,,,843117.971499,235.0,,843117.854681,,,,
,blink,,,,,,,843118.2532275,236.0,,843118.2104699999,,,,
,blink,,,,,,,843118.8915355,237.0,,843118.69878,,,,
,blink,,,,,,,843119.419865,238.0,,843119.26419,,,,
,blink,,,,,,,843119.9903134999,239.0,,843119.9597209999,,,,
,blink,,,,,,,843120.231106,240.0,,843120.092569,,,,
,blink,,,,,,,843120.5921875,241.0,,843120.531498,,,,
,blink,,,,,,,843120.985298,242.0,,843120.921211,,,,
,blink,,,,,,,843122.638321,243.0,,843122.149993,,,,
,blink,,,,,,,843123.541206,244.0,,843122.789603,,,,
,blink,,,,,,,843124.938407,245.0,,843124.696305,,,,
,blink,,,,,,,843125.211301,246.0,,843125.093465,,,,
,blink,,,,,,,843125.8109385,247.0,,843125.6600289999,,,,
,blink,,,,,,,843126.48576,248.0,,843126.3239175,,,,
,blink,,,,,,,843127.9130899999,249.0,,843127.662562,,,,
,blink,,,,,,,843128.985053,250.0,,843128.56177,,,,
,blink,,,,,,,843129.3868394999,251.0,,843129.2096595,,,,
,blink,,,,,,,843130.058468,252.0,,843129.932673,,,,
,blink,,,,,,,843132.71894,253.0,,843132.6639779999,,,,
,blink,,,,,,,843133.6086595,254.0,,843133.5139329999,,,,
,blink,,,,,,,843134.1333005,255.0,,843134.002228,,,,
,blink,,,,,,,843135.759588,256.0,,843135.6211275,,,,
,blink,,,,,,,843138.5435609999,257.0,,843136.167052,,,,
,blink,,,,,,,843138.844588,258.0,,843138.696929,,,,
,blink,,,,,,,843139.2516075,259.0,,843139.0844375,,,,
,blink,,,,,,,843140.171864,260.0,,843140.026783,,,,
,blink,,,,,,,843140.6213445,261.0,,843140.5414935,,,,
,blink,,,,,,,843141.416806,262.0,,843141.2337684999,,,,
,blink,,,,,,,843142.6843419999,263.0,,843142.546095,,,,
,blink,,,,,,,843143.034083,264.0,,843142.897974,,,,
,blink,,,,,,,843147.633552,265.0,,843147.4633,,,,
,blink,,,,,,,843148.0944015,266.0,,843148.0136845,,,,
,blink,,,,,,,843148.4921464999,267.0,,843148.404034,,,,
,blink,,,,,,,843149.173292,268.0,,843148.945206,,,,
,blink,,,,,,,843149.5106565,269.0,,843149.404091,,,,
,blink,,,,,,,843149.7035785,270.0,,843149.632821,,,,
,blink,,,,,,,843150.0681205,271.0,,843149.959784,,,,
,blink,,,,,,,843150.264819,272.0,,843150.125568,,,,
,blink,,,,,,,843150.711865,273.0,,843150.6174735001,,,,
,blink,,,,,,,843151.31445,274.0,,843151.22302,,,,
,blink,,,,,,,843152.124705,275.0,,843151.6455115001,,,,
,blink,,,,,,,843152.5415909999,276.0,,843152.195997,,,,
,blink,,,,,,,843153.135878,277.0,,843152.8915184999,,,,
,blink,,,,,,,843153.803939,278.0,,843153.6295914999,,,,
,blink,,,,,,,843154.0660529999,279.0,,843153.91131,,,,
,blink,,,,,,,843155.0353224999,280.0,,843154.8515544999,,,,
,blink,,,,,,,843155.8799689999,281.0,,843155.7768935,,,,
,blink,,,,,,,843156.1921015,282.0,,843156.0686425,,,,
,blink,,,,,,,843156.356026,283.0,,843156.2764675,,,,
,blink,,,,,,,843168.517631,284.0,,843168.357116,,,,
,blink,,,,,,,843168.9062485,285.0,,843168.748434,,,,
,blink,,,,,,,843172.2746305,286.0,,843172.2497845,,,,
,blink,,,,,,,843172.6721729999,287.0,,843172.5262130001,,,,
,blink,,,,,,,843174.6470545,288.0,,843174.4822539999,,,,
,blink,,,,,,,843174.969066,289.0,,843174.8508659999,,,,
,blink,,,,,,,843176.7549749999,290.0,,843176.562286,,,,
,blink,,,,,,,843177.921303,291.0,,843177.759784,,,,
,blink,,,,,,,843178.464001,292.0,,843178.321397,,,,
,blink,,,,,,,843179.4780814999,293.0,,843179.2284639999,,,,
,blink,,,,,,,843181.728428,294.0,,843181.4919,,,,
,blink,,,,,,,843183.0872289999,295.0,,843182.8666284999,,,,
,blink,,,,,,,843191.7504380001,296.0,,843191.6240775,,,,
,blink,,,,,,,843192.742376,297.0,,843192.5938019999,,,,
