,block,condition,exp_event,msg_time,element,grid_size,posx,posy,angle,trial,vel,pic_id,lum,shake_x,shake_y
299,1.0,TILT,stop,2693.8150377394973,,,,,,,,,,,
300,1.0,Instruction,SMALLGG_after_start,2693.844014715038,,,,,,,,,,,
301,1.0,Instruction,SMALLGG_after_stop,2708.0444885802162,,,,,,,,,,,
302,1.0,GRID,start,2708.044857710478,,,,,,,,,,,
303,1.0,SMALLGRID_AFTER,element,2708.055754791202,1.0,13.0,-18.20603542423191,7.727833286277566,,,,,,,
306,1.0,SMALLGRID_AFTER,element,2709.5113554360228,2.0,13.0,-18.20603542423191,0.0,,,,,,,
309,1.0,SMALLGRID_AFTER,element,2710.444525337511,3.0,13.0,18.20603542423191,-7.727833286277566,,,,,,,
312,1.0,SMALLGRID_AFTER,element,2712.453073698295,4.0,13.0,0.0,7.727833286277566,,,,,,,
315,1.0,SMALLGRID_AFTER,element,2713.9865175712957,5.0,13.0,6.247859218131054,2.5811462130272744,,,,,,,
318,1.0,SMALLGRID_AFTER,element,2715.3280783432774,6.0,13.0,-18.20603542423191,-7.727833286277566,,,,,,,
321,1.0,SMALLGRID_AFTER,element,2717.0781761308554,7.0,13.0,6.247859218131054,-2.5811462130272744,,,,,,,
324,1.0,SMALLGRID_AFTER,element,2719.240821576873,8.0,13.0,-6.247859218131054,-2.5811462130272744,,,,,,,
327,1.0,SMALLGRID_AFTER,element,2720.395032150049,9.0,13.0,0.0,-7.727833286277566,,,,,,,
330,1.0,SMALLGRID_AFTER,element,2721.763696803243,10.0,13.0,-6.247859218131054,2.5811462130272744,,,,,,,
333,1.0,SMALLGRID_AFTER,element,2724.339751563311,11.0,13.0,18.20603542423191,0.0,,,,,,,
336,1.0,SMALLGRID_AFTER,element,2725.9452350653773,12.0,13.0,18.20603542423191,7.727833286277566,,,,,,,
339,1.0,SMALLGRID_AFTER,element,2727.553600964487,13.0,13.0,0.0,0.0,,,,,,,
342,1.0,GRID,stop,2728.9151930776684,,,,,,,,,,,
